id,title,district,price,area,rooms,lat,lon,url
1,Słoneczne mieszkanie 3 pokoje,Krowodrza,650000,65,3,50.0762,19.9275,https://example.com/apt/1
2,Kawalerka blisko centrum,Grzegórzki,340000,32,1,50.0630,19.9580,https://example.com/apt/2
3,Przestronne 4 pokoje z garażem,Podgórze,780000,88,4,50.0380,19.9450,https://example.com/apt/3
4,Mieszkanie na Kazimierzu,Kazimierz,510000,55,2,50.0510,19.9430,https://example.com/apt/4
5,Nowa Huta - 3 pokoje,Nowa Huta,420000,70,3,50.0690,20.0520,https://example.com/apt/5
6,Bronowice - spokojne osiedle,Bronowice,590000,60,3,50.0850,19.8760,https://example.com/apt/6
7,Dębniki przy parku,Dębniki,620000,72,3,50.0420,19.9260,https://example.com/apt/7
8,Prądnik Czerwony - 2 pokoje,Prądnik Czerwony,445000,48,2,50.0910,19.9600,https://example.com/apt/8
9,Mieszkanie z widokiem,Grzegórzki,570000,58,2,50.0650,19.9650,https://example.com/apt/9
10,Krowodrza - 2 pokoje nowe,Krowodrza,480000,50,2,50.0800,19.9210,https://example.com/apt/10
11,Podgórze Duchackie 3 pokoje,Podgórze,530000,67,3,50.0210,20.0050,https://example.com/apt/11
12,Kazimierz - klimatyczna kamienica,Kazimierz,680000,75,3,50.0490,19.9470,https://example.com/apt/12
13,Nowa Huta - rodzinne,Nowa Huta,390000,80,4,50.0720,20.0700,https://example.com/apt/13
14,Bronowice Małe 2 pokoje,Bronowice,430000,45,2,50.0880,19.8620,https://example.com/apt/14
15,Dębniki przy Wiśle,Dębniki,720000,82,3,50.0380,19.9150,https://example.com/apt/15
16,Prądnik Czerwony nowe budownictwo,Prądnik Czerwony,560000,63,3,50.0960,19.9680,https://example.com/apt/16
17,Centrum blisko Rynku,Kazimierz,850000,60,2,50.0614,19.9366,https://example.com/apt/17
18,Grzegórzki przy parku,Grzegórzki,490000,54,2,50.0680,19.9720,https://example.com/apt/18
19,Krowodrza - inwestycja,Krowodrza,710000,78,4,50.0740,19.9180,https://example.com/apt/19
20,Podgórze - nowe osiedle,Podgórze,460000,52,2,50.0290,19.9600,https://example.com/apt/20
21,Prądnik Biały - spokój,Prądnik Czerwony,405000,55,2,50.1000,19.9450,https://example.com/apt/21
22,Dębniki - studio,Dębniki,310000,28,1,50.0440,19.9200,https://example.com/apt/22
23,Nowa Huta segment,Nowa Huta,520000,90,4,50.0650,20.0850,https://example.com/apt/23
24,Bronowice - 3 pokoje z balkonem,Bronowice,615000,68,3,50.0820,19.8700,https://example.com/apt/24
